index,id,reference_text,transcription,success
0,20091124-0900-PLENARY-18-en_20091124-22:35:55_9,AND WHAT ABOUT INTEROPERABILITY IN THE RAIL SECTOR ARE NATIONAL BARRIERS PREVENTING PROGRESS IN THIS AREA AS WELL OR IS THERE AN UNWILLINGNESS ON THE PART OF THE RAIL INDUSTRY TO EMBRACE THE CONCEPT OF INTEROPERABILITY,Rydyn ni'n meddwl i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i'r cyfnod i,True
1,20171024-0900-PLENARY-19-en_20171024-19:35:50_20,THIS WILL NOT HAPPEN THIS IS A PROMISE I MAKE ON BEHALF OF THE COMMISSION AND THIS IS HOW WE WILL PURSUE THE ISSUE IN CLOSE COOPERATION ALSO WITH THE MALTESE AUTHORITIES AND OTHER BODIES THAT COULD BE IMPLICATED IN THE INVESTIGATION,will not happen. This is a promise I make on behalf of the Commission. And this is how we will pursue the issue in close cooperation also with the Maltese authorities and other bodies that could be implicated in the investigation.,True
2,20150520-0900-PLENARY-8-en_20150520-13:27:12_5,IT IS GOOD TO SEE SOMETHING BEING DONE ABOUT IT BUT THE IDEA THAT THE EUROPEAN UNION CAN DO ANYTHING ABOUT IT GIVEN THAT IT IS A TYPE OF FINANCIAL TERRORIST ITSELF WELL THAT IS A JOKE IS IT NOT,"It's good to see something being done about it, but the idea that the European Union can do nothing about it, given that it's a type of financial terrorist itself, well, that's a joke, isn't it?",True
3,20170613-0900-PLENARY-9-en_20170613-13:02:00_0,MR PRESIDENT I WANT TO PUT ON THE RECORD MY SUPPORT FOR THIS REPORT BECAUSE THERE ARE CITIZENS IN THE GALLERY HERE WHO I HOPE DO NOT UNDERSTAND BECAUSE THEY HAVE NOT EXPERIENCED WHAT IT MEANS TO BE IN THIS CATEGORY OF STATELESSNESS,"Thank you, President. I just wanted to put on the record my support for this report because there are citizens in the gallery here who I hope do not understand because they don't experience what it means to be in this category of statelessness.",True
4,20170911-0900-PLENARY-16-en_20170911-18:23:37_6,POLITICAL CORRECTNESS IS THE CORNERSTONE OF THIS EUROPEAN UNION AND IT IS DOING ENORMOUS DAMAGE TO THE SAFETY OF WOMEN,Political correctness is the cornerstone of this European Union and it is doing enormous damage to the safety of women.,True
5,20120313-0900-PLENARY-16-en_20120313-22:16:28_11,I KNOW IN THIS HOUSE WE HAVE CONCERNS SOMETIMES AROUND HOW DETAILED AND COMPLEX AND BUREAUCRATIC OUR REGULATIONS ARE,I know in this house we do and have concerns sometimes around how detailed and complex and bureaucratic our regulations are.,True
6,20130611-0900-PLENARY-5-en_20130611-10:15:04_7,THIRDLY A LARGE BLOCKING MINORITY IN COUNCIL HAVE SAID THAT THEY WOULD RATHER HAVE NO FUND AT ALL THAN AN OBLIGATORY FUND,"And third, a large blocking minority in council have said that they would rather have no fund at all than an obligatory fund.",True
7,20110309-0900-PLENARY-14-en_20110309-12:56:52_0,MR PRESIDENT THERE IS SOMETHING EXTRAORDINARY ABOUT THE MONTHLY PEREGRINATION OF THIS PARLIAMENT BETWEEN THE TWO SEATS,"Thank you, Mr President. There is something extraordinary about the monthly peregrination of this parliament between the two seats.",True
8,20120524-0900-PLENARY-12-en_20120524-15:08:31_4,AT THE BEGINNING OF MAY VENEZUELA ANNOUNCED ITS DECISION TO WITHDRAW FROM THE INTER AMERICAN COMMISSION ON HUMAN RIGHTS AND IN JUST A FEW DAYS PROCEDURAL STEPS HAVE ALREADY BEEN UNDERTAKEN IN THIS DIRECTION,"At the beginning of May, Venezuela announced its decision to withdraw from the Inter-American Commission on Human Rights. And in just a few days, procedural steps have been already undertaken in this direction.",True
9,20150907-0900-PLENARY-20-en_20150907-21:48:45_20,YOUR RAPPORTEUR HAS BEEN DRIVEN BY THE ULTIMATE DESIRE TO RELEASE FARMERS FROM BEHIND THEIR DESKS INTO THE FIELDS AND SIMULTANEOUSLY PROVIDE BETTER CONTROL FOR TAXPAYERS MONEY,Your rapporteur has been driven by the ultimate desire to release the farmers from behind their desks into the fields and simultaneously provide better control for taxpayers' money.,True
